Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
caffeic acid CTD 00001850	2/62	8.400240681185265E-4	0.004365479409119901	0	0	55.35	391.9931287757488	CDC20;UBE2C
Momelotinib LINCS	2/65	9.228750422321747E-4	0.00475857443650965	0	0	52.70634920634921	368.312849231288	BUB1;AURKA
MS-275 PC3 DOWN	3/294	0.0010148988697670168	0.005192505845319622	0	0	18.45829428303655	127.23240058042806	CCNA2;BUB1;AURKA
spiperone PC3 DOWN	2/69	0.001039234133514415	0.005256304794374119	0	0	49.549751243781095	340.3706815245328	CCNA2;BUB1
raloxifene CTD 00007367	4/686	0.0010432968607015298	0.005256304794374119	0	0	11.321994134897361	77.72967345636327	CCNA2;CCNB1;TXNRD1;AURKA
ritonavir CTD 00007290	2/70	0.0010693724440031793	0.005346862220015897	0	0	48.818627450980394	333.9527697036537	CCNA2;CCNB1
trichostatin A CTD 00000660	8/3584	0.0011303617045712333	0.005609313721932436	0	0	6.118568232662192	41.51581688925958	CCNA2;CDC20;CCNB2;CCNB1;CTBP2;HSPG2;BUB1;AURKA
progesterone CTD 00006624	6/1915	0.0011659550814999652	0.005742763834253559	0	0	7.102016762702986	47.96854612752979	CDC20;CCNB2;CCNB1;RRM2;BUB1B;AURKA
mesalazine MCF7 DOWN	2/78	0.0013254974295978832	0.006480209655811874	0	0	43.66228070175438	289.3048516583327	BUB1B;BUB1
SILVER CTD 00006742	2/84	0.0015350048968418733	0.007449288469967914	0	0	40.45528455284553	262.1187578709559	CCNB1;TXNRD1
apigenin MCF7 DOWN	2/87	0.0016453167561850293	0.007926343496949775	0	0	39.02156862745098	250.12132296808602	RRM2;KIF11
gedunin CTD 00003449	2/89	0.001720907217333334	0.00823042582202899	0	0	38.12068965517241	242.63451769013574	RRM2;TXNRD1
SB 202190 CTD 00003161	2/91	0.0017981323113668171	0.008537894428072656	0	0	37.260299625468164	235.52260572132244	CDC20;CCNB1
(17S)-17-hydroxy-13,17-dimethyl-1,2,6,7,8,14,15,16-octahydrocyclopenta[a]phenanthren-3-one CTD 00007088	3/367	0.001919262102717925	0.009047949912813075	0	0	14.701798201798201	91.97172219507735	CCNA2;TXNRD1;BUB1
celastrol CTD 00002186	2/102	0.002251908371812029	0.01054084769784354	0	0	33.14333333333333	202.0410062213326	RRM2;TXNRD1
phenol CTD 00007305	2/103	0.002295583368811727	0.010669612840955914	0	0	32.81353135313531	199.40022636888148	CCNA2;TXNRD1
Pinosylvin CTD 00002139	2/105	0.002384137634921312	0.011003712161175284	0	0	32.17313915857605	194.29094270402075	CCNA2;RRM2
NICKEL CHLORIDE CTD 00001064	3/399	0.002435462456997487	0.011162536261238481	0	0	13.491735537190083	81.18811898123064	CCNB2;UBE2C;TXNRD1
Demecolcine CTD 00005762	4/876	0.00257224785387733	0.011708162645234745	0	0	8.767889908256882	52.28270929932226	SMAD4;CCNB1;RRM2;UBE2C
