Term,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Aflodac CTD 00006817,4.15E-04,0.00234484,0,0,25.65714286,199.8192332,CCNA2;CCNB1;AURKA
gemcitabine CTD 00002382,4.20E-04,0.002353441,0,0,25.54525862,198.6292761,CCNB1;RRM2;UBE2C
Phytoestrogens CTD 00007437,4.33E-04,0.002403588,0,0,78.81818182,610.5071105,CCNA2;RRM2
506-26-3 CTD 00007216,4.69E-04,0.002585882,0,0,75.52651515,578.835433,CCNA2;TXNRD1
trichostatin A CTD 00000660,5.75E-04,0.003138675,0,0,7.342729306,54.78913473,CCNA2;CDC20;CCNB2;CCNB1;CTBP2;HSPG2;BUB1;AURKA
niclosamide HL60 DOWN,6.09E-04,0.003299851,0,0,22.4125,165.9219281,CCNA2;RRM2;KIF11
Alvocidib CTD 00002892,6.32E-04,0.003363174,0,0,64.71103896,476.7445201,CCNA2;CCNB1
nocodazole CTD 00007087,6.32E-04,0.003363174,0,0,64.71103896,476.7445201,CCNB1;BUB1
scriptaid CTD 00003819,6.76E-04,0.003568843,0,0,62.47335423,456.0322289,CCNB2;KIF11
caffeic acid CTD 00001850,7.21E-04,0.003765327,0,0,60.38484848,436.838137,CDC20;UBE2C
progesterone CTD 00006624,7.25E-04,0.003765327,0,0,8.117039587,58.68328002,CDC20;CCNB2;CCNB1;RRM2;BUB1B;AURKA
raloxifene CTD 00007367,7.66E-04,0.003946808,0,0,12.58064516,90.25947439,CCNA2;CCNB1;TXNRD1;AURKA
Momelotinib LINCS,7.93E-04,0.00405226,0,0,57.5007215,410.5592463,BUB1;AURKA
MS-275 PC3 DOWN,8.06E-04,0.004088362,0,0,20.30515464,144.6383567,CCNA2;BUB1;AURKA
spiperone PC3 DOWN,8.93E-04,0.004491918,0,0,54.05698779,379.5445355,CCNA2;BUB1
ritonavir CTD 00007290,9.19E-04,0.004560318,0,0,53.25935829,372.4198801,CCNA2;CCNB1
daunorubicin MCF7 DOWN,9.21E-04,0.004560318,0,0,9.096303502,63.58729974,CCNA2;BUB1B;KIF11;BUB1;AURKA
mesalazine MCF7 DOWN,0.001139016,0.005598704,0,0,47.63397129,322.8435343,BUB1B;BUB1
SILVER CTD 00006742,0.001319312,0.006435421,0,0,44.13525499,292.6452163,CCNB1;TXNRD1
apigenin MCF7 DOWN,0.001414264,0.006846322,0,0,42.57112299,279.3153651,RRM2;KIF11
gedunin CTD 00003449,0.001479337,0.007107492,0,0,41.58829676,270.9960469,RRM2;TXNRD1
"(17S)-17-hydroxy-13,17-dimethyl-1,2,6,7,8,14,15,16-octahydrocyclopenta[a]phenanthren-3-one CTD 00007088",0.001528672,0.007289712,0,0,16.1728022,104.8540316,CCNA2;TXNRD1;BUB1
SB 202190 CTD 00003161,0.001545824,0.007316902,0,0,40.64964249,263.0925328,CDC20;CCNB1
alsterpaullone MCF7 DOWN,0.001657775,0.007789107,0,0,7.907701503,50.62730846,CCNA2;BUB1B;KIF11;BUB1;AURKA
camptothecin PC3 DOWN,0.001788206,0.008340609,0,0,7.764439221,49.12205492,CCNA2;CTBP2;BUB1B;KIF11;AURKA
camptothecin MCF7 DOWN,0.001892362,0.00876246,0,0,7.658736737,48.01973851,CCNA2;CCNB1;BUB1B;KIF11;AURKA
Retinoic acid CTD 00006918,0.001909553,0.008778451,0,0,5.924517647,37.09272876,CCNA2;CDC20;CCNB2;CCNB1;RRM2;UBE2C;HSPG2;BUB1
celastrol CTD 00002186,0.001936634,0.008801601,0,0,36.15818182,225.8730613,RRM2;TXNRD1
NICKEL CHLORIDE CTD 00001064,0.001942137,0.008801601,0,0,14.84166667,92.67086549,CCNB2;UBE2C;TXNRD1
phenol CTD 00007305,0.00197426,0.008884171,0,0,35.79837984,222.9366117,CCNA2;TXNRD1
Pinosylvin CTD 00002139,0.002050555,0.00916297,0,0,35.09973522,217.2548905,CCNA2;RRM2
Silica CTD 00006678,0.002084654,0.00925065,0,0,9.491921452,58.59507967,CCNA2;RRM2;TXNRD1;BUB1B
0179445-0000 MCF7 DOWN,0.00219767,0.009684904,0,0,9.349503859,57.22230696,RRM2;CTBP2;BUB1B;KIF11
docetaxel CTD 00002688,0.002247359,0.009836046,0,0,33.46632997,204.0776584,CCNB1;BUB1B
sulforaphane CTD 00000857,0.002287757,0.009877546,0,0,33.15763136,201.6044782,CCNB1;TXNRD1
