#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
EIF2AK2	TRAF5	9606.ENSP00000233057	9606.ENSP00000261464	0	0	0	0	0.065	0.432	0	0.175	0.524
EIF2AK2	HELZ2	9606.ENSP00000233057	9606.ENSP00000417401	0	0	0	0	0.088	0.386	0	0.311	0.58
EIF2AK2	TRAF2	9606.ENSP00000233057	9606.ENSP00000247668	0	0	0	0	0.068	0.6	0	0.37	0.745
ENC1	LZTR1	9606.ENSP00000479101	9606.ENSP00000215739	0	0	0	0.549	0.051	0	0.9	0	0.901
ENC1	KLHL9	9606.ENSP00000479101	9606.ENSP00000351933	0	0	0	0.692	0	0	0.9	0.522	0.915
ENC1	LHFPL2	9606.ENSP00000479101	9606.ENSP00000369702	0	0	0	0	0	0	0	0.403	0.403
ENC1	KLHL42	9606.ENSP00000479101	9606.ENSP00000370671	0	0	0	0.573	0.062	0.092	0.9	0.492	0.925
ENC1	GAN	9606.ENSP00000479101	9606.ENSP00000476795	0	0	0	0.649	0	0	0.9	0.429	0.914
EPOR	VEGFA	9606.ENSP00000222139	9606.ENSP00000478570	0	0	0	0	0	0	0	0.521	0.521
EPOR	IFNE	9606.ENSP00000222139	9606.ENSP00000418018	0	0	0	0	0	0	0.6	0	0.6
EPOR	VAV2	9606.ENSP00000222139	9606.ENSP00000360916	0	0	0	0	0	0	0.9	0	0.9
EPOR	KRAS	9606.ENSP00000222139	9606.ENSP00000256078	0	0	0	0	0	0	0.9	0.187	0.915
EPOR	SH2B3	9606.ENSP00000222139	9606.ENSP00000345492	0	0	0	0	0.062	0	0.9	0.556	0.954
EPPK1	NINL	9606.ENSP00000484472	9606.ENSP00000278886	0	0	0	0	0	0	0	0.59	0.59
EPPK1	NRBP2	9606.ENSP00000484472	9606.ENSP00000414055	0	0.03	0	0	0	0	0	0.703	0.703
