NAME	TITLE	SCORE	
TNS1	tensin 1 [Source:HGNC Symbol;Acc:HGNC:11973]	4.456053	
ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	4.4546747	
RBFADN	RBFA downstream neighbor [Source:HGNC Symbol;Acc:HGNC:48591]	4.4541955	
CBARP	CACN subunit beta associated regulatory protein [Source:HGNC Symbol;Acc:HGNC:28617]	4.452822	
ADCY7	adenylate cyclase 7 [Source:HGNC Symbol;Acc:HGNC:238]	4.45038	
SLC16A3	solute carrier family 16 member 3 [Source:HGNC Symbol;Acc:HGNC:10924]	4.448215	
GDPD5	glycerophosphodiester phosphodiesterase domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28804]	4.4462976	
ASIC3	acid sensing ion channel subunit 3 [Source:HGNC Symbol;Acc:HGNC:101]	4.444842	
NLGN3	neuroligin 3 [Source:HGNC Symbol;Acc:HGNC:14289]	4.4439807	
N4BP2L1	NEDD4 binding protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:25037]	4.4430895	
LOC112267871	novel transcript	4.4384966	
VIM	vimentin [Source:HGNC Symbol;Acc:HGNC:12692]	4.433839	
IDI2-AS1	IDI2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:30885]	4.426075	
DAGLA	diacylglycerol lipase alpha [Source:HGNC Symbol;Acc:HGNC:1165]	4.423707	
DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	4.419642	
MC1R	melanocortin 1 receptor [Source:HGNC Symbol;Acc:HGNC:6929]	4.4153523	
TRAF5	TNF receptor associated factor 5 [Source:HGNC Symbol;Acc:HGNC:12035]	4.4151196	
EMP3	epithelial membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:3335]	4.4125357	
SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	4.41028	
EPCAM	epithelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:11529]	4.410195	
KCTD7	potassium channel tetramerization domain containing 7 [Source:HGNC Symbol;Acc:HGNC:21957]	4.4081693	
APCDD1L-DT	APCDD1L divergent transcript [Source:HGNC Symbol;Acc:HGNC:27152]	4.407687	
SSC5D	scavenger receptor cysteine rich family member with 5 domains [Source:HGNC Symbol;Acc:HGNC:26641]	4.407528	
LINC00205	long intergenic non-protein coding RNA 205 [Source:HGNC Symbol;Acc:HGNC:16420]	4.406276	
NECTIN3	nectin cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:17664]	4.403134	
PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9377]	4.399378	
ZEB2	zinc finger E-box binding homeobox 2 [Source:HGNC Symbol;Acc:HGNC:14881]	4.3969235	
VAMP1	vesicle associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:12642]	4.3962855	
H3C10	H3 clustered histone 10 [Source:HGNC Symbol;Acc:HGNC:4775]	4.393495	
MICB	MHC class I polypeptide-related sequence B [Source:HGNC Symbol;Acc:HGNC:7091]	4.3921804	
ENSG00000176593	novel transcript, antisense to ZNF606	4.390844	
CEP85L	centrosomal protein 85 like [Source:HGNC Symbol;Acc:HGNC:21638]	4.3897557	
PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]	4.387684	
H2AC4	H2A clustered histone 4 [Source:HGNC Symbol;Acc:HGNC:4734]	4.3860655	
GPRC5C	G protein-coupled receptor class C group 5 member C [Source:HGNC Symbol;Acc:HGNC:13309]	4.381152	
DNMT3A	DNA methyltransferase 3 alpha [Source:HGNC Symbol;Acc:HGNC:2978]	4.380549	
CA13	carbonic anhydrase 13 [Source:HGNC Symbol;Acc:HGNC:14914]	4.3801246	
ATP6V1FNB	ATP6V1F neighbor [Source:HGNC Symbol;Acc:HGNC:52392]	4.3792796	
