"","ID","MetaColumn","MetaRow","Column","Row","CLONE_ID","SPOT_ID","Reporter.Species","Reporter.BioSequence.Database.Entry..preferredName.","Repoter.Biosequence.Type","Repoter.BioSequence.PolymerType","CompositeSequence.Identifier","GeneId","CompositeSequence.Biosequence.Type","Plate.Identifier","Plate.Row","Plate.Column","LUID","Failed","Contaminated","logFC","AveExpr","t","P.Value","adj.P.Val","B","log2FC"
"11271",11271,1,4,21,16,"IMAGE:380057","","Homo sapiens","cDNA_clone","DNA","Experimental","Hs.84084","gene","DNA","P",4,501814,0,"U","U",-0.843708333333333,-0.414214285714286,-4.56000198193062,0.000380659622757599,0.00644775930372987,-0.241929356815702,-0.843708333333333
"42473",42473,4,12,23,6,"IMAGE:279838","","Homo sapiens","cDNA_clone","DNA","Experimental","Hs.44877","gene","DNA","I",12,518966,0,"U","U",-0.907916666666667,0.433642857142857,-4.55979149620018,0.000380818360435557,0.00644775930372987,-0.24235067236114,-0.907916666666667
"36829",36829,1,11,19,28,"","H6R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","L",11,30314,0,"U","U",5.68608333333333,-0.278357142857143,4.55973076632422,0.000380864172458065,0.00644775930372987,-0.24247223204799,5.68608333333333
"10363",10363,4,3,13,16,"IMAGE:951297","","Homo sapiens","cDNA_clone","DNA","Experimental","","","","M",3,528010,0,"U","U",0.779375,0.0401428571428571,4.55927393696811,0.000381208966327181,0.00645051447176266,-0.243386651956639,0.779375
"14287",14287,4,4,7,27,"","J3L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","E",4,30146,0,"U","U",3.64475,0.472785714285714,4.55802438012543,0.000382153711849617,0.00646341406776491,-0.245887932941082,3.64475
"29849",29849,2,9,29,5,"IMAGE:1286145","","Homo sapiens","cDNA_clone","DNA","Experimental","11331","gene","DNA","K",9,24737,0,"U","U",-0.984541666666667,-0.459071428571429,-4.55762554545439,0.000382455762126546,0.00646543655507151,-0.246686320299865,-0.984541666666667
"14914",14914,1,5,4,18,"IMAGE:1186043","","Homo sapiens","cDNA_clone","DNA","Experimental","Hs.406461","gene","DNA","D",17,20949,0,"U","U",-0.856625,0.1605,-4.55641142198899,0.000383376765628281,0.00647791556342721,-0.24911683113997,-0.856625
"394",394,1,1,4,14,"IMAGE:685782","","Homo sapiens","cDNA_clone","DNA","Experimental","VRK2","gene","DNA","D",13,1747,0,"U","U",-0.911625,0.784428571428571,-4.55558642808625,0.000384003883601472,0.00648541926008148,-0.2507684243376,-0.911625
"12790",12790,3,4,10,7,"IMAGE:705273","","Homo sapiens","cDNA_clone","DNA","Experimental","Transmembrane 9 superfamily member 3","gene","DNA","J",16,2264,0,"U","U",1.43575,-0.165428571428571,4.55227926190597,0.000386528407550436,0.00652224989399076,-0.257389736176338,1.43575
"33223",33223,1,10,13,28,"","B21R_1508_s","Variola virus","ss_oligo","DNA","Experimental","","","","P",10,31616,0,"U","U",2.8415,-1.15921428571429,4.55224743718702,0.000386552783489419,0.00652224989399076,-0.257453457001204,2.8415
"33240",33240,1,10,30,28,"VACWR099","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","P",22,30800,0,"U","U",2.298625,-0.5285,4.55197790298774,0.000386759294737572,0.00652262831529577,-0.257993133224785,2.298625
"628",628,1,1,28,21,"IMAGE:753745","","Homo sapiens","cDNA_clone","DNA","Experimental","Hypothetical LOC388114","gene","DNA","H",13,515691,0,"U","U",-1.07995833333333,0.131785714285714,-4.55093476209941,0.000387559594044915,0.0065330157449065,-0.260081821723081,-1.07995833333333
"14431",14431,1,5,1,2,"","EMPTY","Not Applicable","unknown_sequence","unknown_polymer","Control","","","","P",5,26295,0,"U","U",1.1925,-0.521428571428571,4.55051045939723,0.00038788560568714,0.00653433420287079,-0.260931430768863,1.1925
"11437",11437,1,4,7,22,"IMAGE:2109324","","Homo sapiens","cDNA_clone","DNA","Experimental","Hs.522412","gene","DNA","L",4,23102,0,"U","U",-0.757791666666667,0.0848571428571429,-4.55035303103166,0.000388006636831206,0.00653433420287079,-0.261246663509941,-0.757791666666667
"25985",25985,1,8,5,27,"","G4L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","D",8,30127,0,"U","U",2.6515,0.413857142857143,4.54996114705886,0.000388308086078891,0.00653630423469518,-0.262031375982044,2.6515
"4029",4029,1,2,9,15,"IMAGE:365539","","Homo sapiens","cDNA_clone","DNA","Experimental","55272","gene","DNA","L",2,502941,0,"U","U",-0.693333333333333,-0.270142857142857,-4.54971249869404,0.000388499478670442,0.00653642071592106,-0.262529278318909,-0.693333333333333
"24396",24396,4,7,6,4,"IMAGE:2020927","","Homo sapiens","cDNA_clone","DNA","Experimental","Transcribed locus","gene","DNA","M",19,22258,0,"U","U",1.13491666666667,0.101642857142857,4.5480566455577,0.000389776512687938,0.00655479410254946,-0.265845142431196,1.13491666666667
"7258",7258,1,3,28,2,"IMAGE:2321118","","Homo sapiens","cDNA_clone","DNA","Experimental","6201","gene","DNA","D",15,531988,0,"U","U",-0.982625,-0.2905,-4.54668701216466,0.000390836061287347,0.00656949438310938,-0.268588012237444,-0.982625
"9840",9840,3,3,30,28,"VACWR117","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","N",15,30745,0,"U","U",5.72895833333333,-1.21685714285714,4.54608543790742,0.000391302372798643,0.00657169914975005,-0.269792790121762,5.72895833333333
"33229",33229,1,10,19,28,"","A42R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","L",10,30313,0,"U","U",4.36720833333333,-0.0187142857142857,4.54587733203252,0.0003914638193467,0.00657169914975005,-0.270209572179512,4.36720833333333
"13309",13309,3,4,19,24,"IMAGE:2572139","","Homo sapiens","cDNA_clone","DNA","Experimental","Hs.528668","gene","DNA","J",4,542518,0,"U","U",-1.10733333333333,-0.873571428571429,-4.54580025349588,0.00039152363348072,0.00657169914975005,-0.270363941351651,-1.10733333333333
"12380",12380,2,4,20,23,"IMAGE:502141","","Homo sapiens","cDNA_clone","DNA","Experimental","4728","gene","DNA","O",16,517372,0,"U","U",-1.060125,-0.155714285714286,-4.54519689279791,0.000391992174793873,0.00657644826206028,-0.27157233922583,-1.060125
"22743",22743,2,7,3,9,"IMAGE:40871","","Homo sapiens","cDNA_clone","DNA","Experimental","10162","gene","DNA","G",7,508776,0,"U","U",-0.643208333333333,-0.0992857142857143,-4.54456616794043,0.000392482580837247,0.00657884107347706,-0.27283557214556,-0.643208333333333
"3962",3962,1,2,2,13,"IMAGE:429466","","Homo sapiens","cDNA_clone","DNA","Experimental","Synaptogyrin 1","gene","DNA","D",14,505203,0,"U","U",-0.874208333333333,-0.552285714285714,-4.54453588926559,0.000392506139173384,0.00657884107347706,-0.272896215888955,-0.874208333333333
"11954",11954,2,4,14,9,"IMAGE:1336400","","Homo sapiens","cDNA_clone","DNA","Experimental","Hs.532793","gene","DNA","K",16,13604,0,"U","U",-0.894625,0.0197142857142857,-4.54003668701432,0.000396022919327852,0.00663159329845947,-0.281908259815614,-0.894625
