NAME	TITLE	SCORE	
ANKRD49	ankyrin repeat domain 49 [Source:HGNC Symbol;Acc:HGNC:25970]	3.4418519	
NBPF14	NBPF member 14 [Source:HGNC Symbol;Acc:HGNC:25232]	3.4404948	
WWC2	WW and C2 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24148]	3.4391725	
ZNF550	zinc finger protein 550 [Source:HGNC Symbol;Acc:HGNC:28643]	3.4339192	
FMNL3	formin like 3 [Source:HGNC Symbol;Acc:HGNC:23698]	3.432638	
IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	3.4324267	
PLAG1	PLAG1 zinc finger [Source:HGNC Symbol;Acc:HGNC:9045]	3.4312763	
ZNF431	zinc finger protein 431 [Source:HGNC Symbol;Acc:HGNC:20809]	3.4219782	
PABPC1L	poly(A) binding protein cytoplasmic 1 like [Source:HGNC Symbol;Acc:HGNC:15797]	3.421851	
CSNK1D	casein kinase 1 delta [Source:HGNC Symbol;Acc:HGNC:2452]	3.418724	
LINC01002	long intergenic non-protein coding RNA 1002 [Source:HGNC Symbol;Acc:HGNC:38538]	3.4165838	
EDC4	enhancer of mRNA decapping 4 [Source:HGNC Symbol;Acc:HGNC:17157]	3.4159026	
STYK1	serine/threonine/tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:18889]	3.4153564	
MYPN	myopalladin [Source:HGNC Symbol;Acc:HGNC:23246]	3.4074285	
SLC26A11	solute carrier family 26 member 11 [Source:HGNC Symbol;Acc:HGNC:14471]	3.4069247	
DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A [Source:HGNC Symbol;Acc:HGNC:3091]	3.4065187	
SLC3A2	solute carrier family 3 member 2 [Source:HGNC Symbol;Acc:HGNC:11026]	3.4047391	
BRPF1	bromodomain and PHD finger containing 1 [Source:HGNC Symbol;Acc:HGNC:14255]	3.4042294	
GOLGA8A	golgin A8 family member A [Source:HGNC Symbol;Acc:HGNC:31972]	3.40278	
ZBTB20	zinc finger and BTB domain containing 20 [Source:HGNC Symbol;Acc:HGNC:13503]	3.3994823	
CHN1	chimerin 1 [Source:HGNC Symbol;Acc:HGNC:1943]	3.3987308	
PHTF1	putative homeodomain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:8939]	3.3963947	
MAT2A	methionine adenosyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:6904]	3.3945503	
SETD5	SET domain containing 5 [Source:HGNC Symbol;Acc:HGNC:25566]	3.394117	
SCAF4	SR-related CTD associated factor 4 [Source:HGNC Symbol;Acc:HGNC:19304]	3.3935697	
ZNF701	zinc finger protein 701 [Source:HGNC Symbol;Acc:HGNC:25597]	3.3906646	
WHRN	whirlin [Source:HGNC Symbol;Acc:HGNC:16361]	3.3904927	
THOC6	THO complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:28369]	3.3897603	
TLK2	tousled like kinase 2 [Source:HGNC Symbol;Acc:HGNC:11842]	3.38855	
MBIP	MAP3K12 binding inhibitory protein 1 [Source:HGNC Symbol;Acc:HGNC:20427]	3.3848565	
NFRKB	nuclear factor related to kappaB binding protein [Source:HGNC Symbol;Acc:HGNC:7802]	3.3845463	
SNX8	sorting nexin 8 [Source:HGNC Symbol;Acc:HGNC:14972]	3.381221	
RC3H1	ring finger and CCCH-type domains 1 [Source:HGNC Symbol;Acc:HGNC:29434]	3.3779383	
WNT9A	Wnt family member 9A [Source:HGNC Symbol;Acc:HGNC:12778]	3.375562	
PTOV1-AS1	PTOV1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44174]	3.3752205	
NPIPB3	nuclear pore complex interacting protein family member B3 [Source:HGNC Symbol;Acc:HGNC:28989]	3.374092	
HOTAIRM1	HOXA transcript antisense RNA, myeloid-specific 1 [Source:HGNC Symbol;Acc:HGNC:37117]	3.369368	
H2AX	H2A.X variant histone [Source:HGNC Symbol;Acc:HGNC:4739]	3.3684487	
SH3BP5-AS1	SH3BP5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44501]	3.366255	
ARHGEF40	Rho guanine nucleotide exchange factor 40 [Source:HGNC Symbol;Acc:HGNC:25516]	3.3616927	
MYO9B	myosin IXB [Source:HGNC Symbol;Acc:HGNC:7609]	3.360081	
DYNLT2	dynein light chain Tctex-type 2 [Source:HGNC Symbol;Acc:HGNC:11695]	3.3593087	
GKAP1	G kinase anchoring protein 1 [Source:HGNC Symbol;Acc:HGNC:17496]	3.3565006	
CBL	Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541]	3.3520248	
ZNF507	zinc finger protein 507 [Source:HGNC Symbol;Acc:HGNC:23783]	3.350314	
HP1BP3	heterochromatin protein 1 binding protein 3 [Source:HGNC Symbol;Acc:HGNC:24973]	3.3463097	
SERPINH1	serpin family H member 1 [Source:HGNC Symbol;Acc:HGNC:1546]	3.3433447	
ZDHHC11	zinc finger DHHC-type containing 11 [Source:HGNC Symbol;Acc:HGNC:19158]	3.342305	
ZNF426	zinc finger protein 426 [Source:HGNC Symbol;Acc:HGNC:20725]	3.3415678	
H1-10	H1.10 linker histone [Source:HGNC Symbol;Acc:HGNC:4722]	3.3387878	
TESK1	testis associated actin remodelling kinase 1 [Source:HGNC Symbol;Acc:HGNC:11731]	3.3357866	
ZNF596	zinc finger protein 596 [Source:HGNC Symbol;Acc:HGNC:27268]	3.3318844	
GET4	guided entry of tail-anchored proteins factor 4 [Source:HGNC Symbol;Acc:HGNC:21690]	3.329219	
CELF1	CUGBP Elav-like family member 1 [Source:HGNC Symbol;Acc:HGNC:2549]	3.3289938	
PHKG2	phosphorylase kinase catalytic subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:8931]	3.328336	
SLIT2	slit guidance ligand 2 [Source:HGNC Symbol;Acc:HGNC:11086]	3.3272417	
NBPF19	NBPF member 19 [Source:HGNC Symbol;Acc:HGNC:31999]	3.3236203	
TENM3-AS1	TENM3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:28076]	3.3236074	
FAM120AOS	family with sequence similarity 120A opposite strand [Source:HGNC Symbol;Acc:HGNC:23389]	3.3233166	
PIP5K1A	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha [Source:HGNC Symbol;Acc:HGNC:8994]	3.323105	
CLDND1	claudin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:1322]	3.3168304	
RIPOR1	RHO family interacting cell polarization regulator 1 [Source:HGNC Symbol;Acc:HGNC:25836]	3.316773	
DSCAM	DS cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:3039]	3.312837	
PPTC7	protein phosphatase targeting COQ7 [Source:HGNC Symbol;Acc:HGNC:30695]	3.3128288	
RBM27	RNA binding motif protein 27 [Source:HGNC Symbol;Acc:HGNC:29243]	3.3126695	
