baseMean,log2FoldChange,lfcSE,pvalue,padj,diffexpressed,delabel
18.80645858,-0.045331483,0.367671134,0.784588707,0.890389718,NO,NA
4.632829312,0.269106124,0.40865697,0.227687701,0.450075538,NO,NA
24.85528208,0.041848952,0.423469406,0.010696416,0.078898763,NO,NA
6.904921209,0.891619671,0.713039911,0.018542799,0.106081682,NO,NA
3.339835129,0.023071189,0.379998697,0.877711733,0.941341155,NO,NA
2.568963506,0.00737911,0.418387155,0.858217454,NA,NO,NA
2.275124857,0.166482793,0.423448128,0.323302897,NA,NO,NA
8.015501818,0.047125194,0.423883524,0.049744537,0.188131595,NO,NA
24.75541616,-0.138670893,0.412247996,0.339633779,0.56510567,NO,NA
3.304794975,0.033356523,0.415695938,0.556578719,0.745869094,NO,NA
35.1393066,0.173658334,0.264272276,0.409398245,0.628269215,NO,NA
38.40321509,0.083489185,0.319296612,0.695257801,0.836913806,NO,NA
1.070985081,0.05147097,0.420545183,0.359300755,NA,NO,NA
8.387729386,-0.458535681,0.443291917,0.085706447,0.256667944,NO,NA
19.70811808,-0.155690147,0.378589055,0.432272379,0.647687262,NO,NA
15.59326501,0.390764833,0.397702361,0.117507155,0.304368899,NO,NA
8.521668111,0.041537747,0.304366908,0.849074,0.926198163,NO,NA
17.42764026,0.042341459,0.423446366,0.023667372,0.121781304,NO,NA
114.2769102,0.539844049,0.541842757,0.041900587,0.170733687,NO,NA
4.161814987,0.088236598,0.431140568,0.035422354,0.155089906,NO,NA
6.599970783,-0.104881958,0.330580924,0.615095337,0.785568049,NO,NA
0.53549254,0.038689048,0.417082646,0.656380639,NA,NO,NA
1.797131526,-0.162889714,0.420397468,0.337072173,NA,NO,NA
15.42311439,-0.199073299,0.269114223,0.347375686,0.57219962,NO,NA
308.9805274,0.082201708,0.43180011,0.0048332,0.050125765,NO,NA
24.39982984,0.046819018,0.424227688,0.00757366,0.065169774,NO,NA
10.32019429,-0.045795125,0.357339662,0.805368139,0.902789829,NO,NA
41.93441285,-0.110536103,0.297339904,0.605561189,0.779327813,NO,NA
7.296244557,-0.124933752,0.422862699,0.257186571,0.482085473,NO,NA
10.69321834,0.281310533,0.469148963,0.122552184,0.311839407,NO,NA
122.5236605,0.416088189,0.375410808,0.099723587,0.279554515,NO,NA
8.557079517,0.022861838,0.296590756,0.917339777,0.958654445,NO,NA
39.93219496,0.252834904,0.245493618,0.204839611,0.423339513,NO,NA
30.85810711,0.039640952,0.42316073,0.011462119,0.082137859,NO,NA
75.11599473,-1.275598396,0.409250509,0.000155299,0.00501175,DOWN,NA
26.48858274,-0.181554719,0.28816268,0.390269939,0.611471219,NO,NA
63.66376352,0.470507713,0.245669165,0.022381069,0.118061019,NO,NA
