"initial_alias","converted_alias","name","description","namespace"
"VASP","7408","VASP","vasodilator stimulated phosphoprotein [Source:HGNC Symbol;Acc:HGNC:12652]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OVOL2","58495","OVOL2","ovo like zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:15804]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WDR60","None","None","None",""
"TRAF2","7186","TRAF2","TNF receptor associated factor 2 [Source:HGNC Symbol;Acc:HGNC:12032]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KDM4B","23030","KDM4B","lysine demethylase 4B [Source:HGNC Symbol;Acc:HGNC:29136]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DGCR8","54487","DGCR8","DGCR8 microprocessor complex subunit [Source:HGNC Symbol;Acc:HGNC:2847]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IRF5","3663","IRF5","interferon regulatory factor 5 [Source:HGNC Symbol;Acc:HGNC:6120]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADCY4","196883","ADCY4","adenylate cyclase 4 [Source:HGNC Symbol;Acc:HGNC:235]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABHD17A","81926","ABHD17A","abhydrolase domain containing 17A, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:28756]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HELZ2","85441","HELZ2","helicase with zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:30021]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF337","26152","ZNF337","zinc finger protein 337 [Source:HGNC Symbol;Acc:HGNC:15809]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LAMA5","3911","LAMA5","laminin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6485]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARHGEF16","27237","ARHGEF16","Rho guanine nucleotide exchange factor 16 [Source:HGNC Symbol;Acc:HGNC:15515]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C12ORF65","None","None","None",""
"ANO1","55107","ANO1","anoctamin 1 [Source:HGNC Symbol;Acc:HGNC:21625]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WDR44","54521","WDR44","WD repeat domain 44 [Source:HGNC Symbol;Acc:HGNC:30512]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SELENOS","55829","SELENOS","selenoprotein S [Source:HGNC Symbol;Acc:HGNC:30396]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RHPN2","85415","RHPN2","rhophilin Rho GTPase binding protein 2 [Source:HGNC Symbol;Acc:HGNC:19974]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C19ORF12","83636","C19orf12","chromosome 19 open reading frame 12 [Source:HGNC Symbol;Acc:HGNC:25443]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRIM47","91107","TRIM47","tripartite motif containing 47 [Source:HGNC Symbol;Acc:HGNC:19020]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPART","23111","SPART","spartin [Source:HGNC Symbol;Acc:HGNC:18514]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KRAS","3845","KRAS","KRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:6407]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IMPA1","3612","IMPA1","inositol monophosphatase 1 [Source:HGNC Symbol;Acc:HGNC:6050]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TTC9","23508","TTC9","tetratricopeptide repeat domain 9 [Source:HGNC Symbol;Acc:HGNC:20267]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
